[NodeSet]:366		[PeerSet]:3129		[12-bit Zone]:0 [0/s]		[Response]:            64.75%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3132		[12-bit Zone]:0 [0/s]		[Response]:            65.03%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3137		[12-bit Zone]:0 [0/s]		[Response]:            65.30%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3142		[12-bit Zone]:0 [0/s]		[Response]:            65.57%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3147		[12-bit Zone]:0 [0/s]		[Response]:            65.85%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3154		[12-bit Zone]:0 [0/s]		[Response]:            66.12%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3163		[12-bit Zone]:0 [0/s]		[Response]:            66.39%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3172		[12-bit Zone]:0 [0/s]		[Response]:            66.67%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3177		[12-bit Zone]:0 [0/s]		[Response]:            66.94%		[Queue]:200		
[NodeSet]:366		[PeerSet]:3178		[12-bit Zone]:0 [0/s]		[Response]:            67.21%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3184		[12-bit Zone]:0 [0/s]		[Response]:            67.30%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3197		[12-bit Zone]:0 [0/s]		[Response]:            67.57%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3201		[12-bit Zone]:0 [0/s]		[Response]:            67.85%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3205		[12-bit Zone]:0 [0/s]		[Response]:            68.12%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3208		[12-bit Zone]:0 [0/s]		[Response]:            68.39%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3215		[12-bit Zone]:0 [0/s]		[Response]:            68.66%		[Queue]:200		
[NodeSet]:367		[PeerSet]:3225		[12-bit Zone]:0 [0/s]		[Response]:            68.94%		[Queue]:200		
[NodeSet]:368		[PeerSet]:3225		[12-bit Zone]:0 [0/s]		[Response]:            69.02%		[Queue]:200		
[NodeSet]:368		[PeerSet]:3225		[12-bit Zone]:0 [0/s]		[Response]:            69.29%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3225		[12-bit Zone]:0 [0/s]		[Response]:            69.19%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3228		[12-bit Zone]:0 [0/s]		[Response]:            69.46%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3235		[12-bit Zone]:0 [0/s]		[Response]:            69.73%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3240		[12-bit Zone]:0 [0/s]		[Response]:            70.00%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3246		[12-bit Zone]:0 [0/s]		[Response]:            70.27%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3250		[12-bit Zone]:0 [0/s]		[Response]:            70.54%		[Queue]:200		
[NodeSet]:370		[PeerSet]:3259		[12-bit Zone]:0 [0/s]		[Response]:            70.81%		[Queue]:200		
[NodeSet]:377		[PeerSet]:3266		[12-bit Zone]:0 [0/s]		[Response]:            69.76%		[Queue]:200		
[NodeSet]:383		[PeerSet]:3268		[12-bit Zone]:0 [0/s]		[Response]:            68.93%		[Queue]:200		
[NodeSet]:387		[PeerSet]:3273		[12-bit Zone]:0 [0/s]		[Response]:            68.48%		[Queue]:200		
[NodeSet]:392		[PeerSet]:3273		[12-bit Zone]:0 [0/s]		[Response]:            67.86%		[Queue]:200		
[NodeSet]:397		[PeerSet]:3274		[12-bit Zone]:0 [0/s]		[Response]:            67.25%		[Queue]:200		
[NodeSet]:397		[PeerSet]:3282		[12-bit Zone]:0 [0/s]		[Response]:            67.51%		[Queue]:200		
