( 3130, 1462 )
( 3135, 1463 )
( 3140, 1464 )
( 3145, 1465 )
( 3150, 1466 )
( 3155, 1467 )
( 3160, 1467 )
( 3165, 1468 )
( 3170, 1469 )
( 3175, 1470 )
( 3180, 1470 )
( 3185, 1471 )
( 3190, 1472 )
( 3195, 1472 )
( 3200, 1473 )
( 3205, 1474 )
( 3210, 1475 )
( 3215, 1475 )
( 3220, 1476 )
( 3225, 1477 )
( 3230, 1477 )
( 3235, 1478 )
( 3240, 1479 )
( 3245, 1479 )
( 3250, 1480 )
( 3255, 1481 )
( 3260, 1482 )
( 3265, 1482 )
( 3270, 1483 )
( 3275, 1484 )
( 3280, 1484 )
( 3285, 1485 )
( 3290, 1486 )
( 3295, 1487 )
( 3300, 1487 )
( 3305, 1488 )
( 3310, 1489 )
( 3315, 1490 )
( 3320, 1491 )
( 3325, 1492 )
( 3330, 1493 )
( 3335, 1494 )
( 3340, 1495 )
( 3345, 1496 )
( 3350, 1497 )
( 3355, 1498 )
( 3360, 1500 )
( 3365, 1501 )
( 3370, 1502 )
( 3375, 1502 )
( 3380, 1504 )
( 3385, 1504 )
( 3390, 1505 )
( 3395, 1506 )
( 3400, 1507 )
( 3405, 1508 )
( 3410, 1509 )
( 3415, 1510 )
( 3420, 1511 )
( 3425, 1512 )
( 3430, 1513 )
( 3435, 1514 )
( 3440, 1515 )
( 3445, 1516 )
( 3450, 1517 )
( 3455, 1517 )
( 3460, 1518 )
( 3465, 1519 )
( 3470, 1520 )
( 3475, 1521 )
( 3480, 1522 )
( 3485, 1523 )
( 3490, 1524 )
( 3495, 1525 )
( 3500, 1526 )
( 3505, 1527 )
( 3510, 1527 )
( 3515, 1528 )
( 3520, 1529 )
( 3525, 1530 )
( 3530, 1531 )
( 3535, 1532 )
( 3540, 1533 )
( 3545, 1534 )
( 3550, 1534 )
( 3555, 1535 )
( 3560, 1536 )
( 3565, 1537 )
( 3570, 1538 )
( 3575, 1539 )
( 3580, 1540 )
( 3585, 1541 )
( 3590, 1541 )
( 3595, 1542 )
( 3600, 1543 )
( 3605, 1545 )
( 3610, 1546 )
( 3615, 1547 )
( 3620, 1548 )
( 3625, 1549 )
( 3630, 1551 )
( 3635, 1552 )
( 3640, 1553 )
( 3645, 1554 )
( 3650, 1555 )
( 3655, 1557 )
( 3660, 1558 )
( 3665, 1559 )
( 3670, 1561 )
( 3675, 1562 )
( 3680, 1563 )
( 3685, 1564 )
( 3690, 1566 )
( 3695, 1567 )
( 3700, 1568 )
( 3705, 1569 )
( 3710, 1571 )
( 3715, 1572 )
( 3720, 1573 )
( 3725, 1574 )
( 3730, 1575 )
( 3735, 1576 )
( 3740, 1577 )
( 3745, 1579 )
( 3750, 1580 )
( 3755, 1580 )
( 3760, 1581 )
( 3765, 1582 )
( 3770, 1583 )
( 3775, 1584 )
( 3780, 1585 )
( 3785, 1586 )
( 3790, 1587 )
( 3795, 1588 )
( 3800, 1589 )
( 3805, 1590 )
( 3810, 1591 )
( 3815, 1592 )
( 3820, 1593 )
( 3825, 1594 )
( 3830, 1595 )
( 3835, 1596 )
( 3840, 1597 )
( 3845, 1598 )
( 3850, 1600 )
( 3855, 1601 )
( 3860, 1602 )
( 3865, 1603 )
( 3870, 1605 )
( 3875, 1606 )
( 3880, 1607 )
( 3885, 1608 )
( 3890, 1609 )
( 3895, 1610 )
( 3900, 1611 )
( 3905, 1612 )
( 3910, 1613 )
( 3915, 1614 )
( 3920, 1616 )
( 3925, 1617 )
( 3930, 1618 )
( 3935, 1619 )
( 3940, 1620 )
( 3945, 1621 )
( 3950, 1622 )
( 3955, 1623 )
( 3960, 1625 )
( 3965, 1626 )
( 3970, 1627 )
( 3975, 1628 )
( 3980, 1629 )
( 3985, 1630 )
( 3990, 1631 )
( 3995, 1632 )
( 4000, 1633 )
( 4005, 1634 )
( 4010, 1635 )
( 4015, 1636 )
( 4020, 1637 )
( 4025, 1638 )
( 4030, 1639 )
( 4035, 1640 )
( 4040, 1641 )
( 4045, 1642 )
( 4050, 1643 )
