( 5, 0 )
( 3190, 5227 )
( 3195, 5233 )
( 3200, 5240 )
( 3205, 5247 )
( 3210, 5253 )
( 3215, 5259 )
( 3220, 5266 )
( 3225, 5274 )
( 3230, 5280 )
( 3235, 5287 )
( 3240, 5293 )
( 3245, 5299 )
( 3250, 5305 )
( 3255, 5311 )
( 3260, 5317 )
( 3265, 5323 )
( 3270, 5328 )
( 3275, 5334 )
( 3280, 5340 )
( 3285, 5346 )
( 3290, 5353 )
( 3295, 5359 )
( 3300, 5365 )
( 3305, 5371 )
( 3310, 5376 )
( 3315, 5382 )
( 3320, 5388 )
( 3325, 5394 )
( 3330, 5400 )
( 3335, 5406 )
( 3340, 5411 )
( 3345, 5417 )
( 3350, 5422 )
( 3355, 5427 )
( 3360, 5432 )
( 3365, 5438 )
( 3370, 5442 )
( 3375, 5447 )
( 3380, 5452 )
( 3385, 5457 )
( 3390, 5461 )
( 3395, 5466 )
( 3400, 5471 )
( 3405, 5475 )
( 3410, 5480 )
( 3415, 5485 )
( 3420, 5490 )
( 3425, 5495 )
( 3430, 5500 )
( 3435, 5505 )
( 3440, 5511 )
( 3445, 5515 )
( 3450, 5520 )
( 3455, 5525 )
( 3460, 5530 )
( 3465, 5535 )
( 3470, 5541 )
( 3475, 5546 )
( 3480, 5551 )
( 3485, 5556 )
( 3490, 5561 )
( 3495, 5566 )
( 3500, 5572 )
( 3505, 5577 )
( 3510, 5582 )
( 3515, 5587 )
( 3520, 5593 )
( 3525, 5598 )
( 3530, 5604 )
( 3535, 5610 )
( 3540, 5615 )
( 3545, 5620 )
( 3550, 5626 )
( 3555, 5632 )
( 3560, 5637 )
( 3565, 5643 )
( 3570, 5649 )
( 3575, 5654 )
( 3580, 5660 )
( 3585, 5665 )
( 3590, 5670 )
( 3595, 5675 )
( 3600, 5680 )
( 3605, 5685 )
( 3610, 5690 )
( 3615, 5695 )
( 3620, 5700 )
( 3625, 5705 )
( 3630, 5709 )
( 3635, 5714 )
( 3640, 5719 )
( 3645, 5724 )
( 3650, 5729 )
( 3655, 5735 )
( 3660, 5739 )
( 3665, 5744 )
( 3670, 5749 )
( 3675, 5754 )
( 3680, 5758 )
( 3685, 5763 )
( 3690, 5768 )
( 3695, 5773 )
( 3700, 5778 )
( 3705, 5783 )
( 3710, 5788 )
( 3715, 5794 )
( 3720, 5799 )
